time[s], acc_x[m/s^2], acc_y[m/s^2], acc_z[m/s^2]
4.91, -7.544, -3.161, -6.4
4.942, -1.647, -5.385, -2.161
4.974, 1.812, 3.298, -2.746
5.002, -2.124, -1.653, -2.701
5.03, 0.26, -2.243, -1.365
5.059, 1.909, 0.064, -0.6
5.089, 2.474, -0.394, 0.975
5.118, 3.058, -0.695, 1.394
5.146, 4.173, -0.951, 1.253
5.174, 4.009, -0.791, 1.488
5.202, 2.862, -0.129, 0.978
5.229, 1.679, -1.028, 0.3
5.258, -0.04, -1.746, 0.417
5.289, -2.107, 0.701, 2.346
5.318, -1.698, 0.506, 2.054
5.349, -4.57, -1.63, 2.727
5.38, -5.365, -0.054, 3.123
5.412, -2.81, 5.431, -4.86
5.442, 1.714, -2.527, -2.788
5.469, 0.789, -1.273, -3.131
5.497, -0.383, -0.845, -3.535
5.526, -1.339, -0.877, -1.52
5.555, -2.265, -1.079, -0.588
5.582, 1.602, 0.338, 1.053
5.609, 3.392, 0.696, 1.585
5.639, 5.001, 1.097, 2.454
5.667, 4.326, -0.111, 2.323
5.694, 3.351, -0.344, 1.736
5.722, 2.017, 0.225, 0.572
5.75, 0.982, 0.424, 0.472
5.781, 0.347, 0.16, 1.191
5.813, -3.35, 1.152, 1.775
5.848, -5.739, 1.666, 1.012
5.881, -7.055, -1.244, -3.479
5.915, 0.947, -1.002, -0.107
5.949, -0.425, 1.978, -3.894
5.982, 0.609, -2.708, -2.205
6.015, 2.542, -0.732, -0.996
6.049, 1.213, -0.568, 0.446
6.081, 2.076, -0.824, 1.119
6.108, 4.22, -0.83, 1.537
6.138, 4.667, -0.233, 1.162
6.168, 2.786, -0.558, 0.813
6.201, 1.765, -1.239, 0.56
6.231, -0.463, -0.954, 0.61
6.26, -1.354, -0.196, 1.104
6.288, -1.794, -0.654, 2.728
6.319, -2.951, -2.3, 2.954
6.352, -5.042, 1.638, -2.114
6.383, -0.868, 1.735, -1.491
6.412, 0.816, -4.325, -2.483
6.44, 0.698, -4.816, -3.4
6.469, -0.828, 1.441, -1.52
6.5, -1.218, 1.86, -0.417
6.528, -1.041, -0.725, -0.364
6.557, 0.589, -0.57, 0.094
6.585, 3.892, 1.192, 1.49
6.617, 4.141, 0.656, 1.198
6.645, 5.498, -0.404, 1.235
6.673, 4.085, 0.194, 0.853
6.701, 2.202, 0.778, 1.023
6.729, -1.131, -0.865, 0.805
6.756, -1.317, -0.724, 1.147
6.785, -4.435, 1.743, 1.96
6.814, -6.286, 0.872, 2.126
6.842, -6.48, -1.842, -3.32
6.869, -4.413, -4.706, -4.419
6.901, 3.242, 1.755, -1.237
6.928, -1.289, 0.718, -3.055
6.96, -1.879, -1.407, -2.77
6.991, 1.597, 0.11, -0.73
7.023, 2.127, -0.406, 1.032
7.056, 3.17, -0.094, 1.525
7.089, 4.946, -0.89, 1.313
7.123, 4.195, -1.075, 1.109
7.16, 2.025, -0.054, 1.301
7.191, 0.293, -0.854, 1.095
7.22, -0.951, -0.406, 1.863
7.247, -2.239, -0.495, 1.759
7.274, -3.576, -1.969, 2.111
7.303, -5.096, -1.134, 2.137
7.333, -5.162, 2.369, -3.364
7.362, 1.12, -0.631, -1.152
7.389, 1.622, -3.792, -3.208
7.417, 0.563, -2.313, -4.301
7.445, -2.579, 1.461, -2.254
7.474, -2.038, -0.283, -1.205
7.504, -0.566, -0.425, 0.27
7.532, 2.737, -0.103, 1.033
7.562, 5.762, 0.541, 2.233
7.592, 5.983, 0.151, 1.793
7.619, 6.34, 0.172, 1.244
7.647, 4.005, 0.35, 0.996
7.674, 1.675, 0.882, 0.788
7.702, -0.988, 0.537, 0.613
7.729, -1.388, 0.036, 1.625
7.762, -6.434, 2.771, 1.996
7.792, -7.565, 2.244, 2.481
7.819, -6.368, 0.317, 1.482
7.848, 1.724, -2.942, 0.593
7.877, 3.965, 2.452, -1.5
7.904, -0.418, 1.474, -2.453
7.933, -1.203, -2.13, -2.335
7.962, 1.393, -1.506, -1.289
7.99, 1.081, -0.04, -0.292
8.019, 1.129, -0.07, 0.26
8.049, 2.639, -1.205, 0.762
8.077, 3.202, -1.406, 0.967
8.106, 3.715, -0.089, 1.47
8.134, 3.449, 0.156, 1.646
8.166, 1.006, -1.316, 1.08
8.2, 0.666, -1.296, 0.575
8.232, 0.031, 0.037, 1.39
8.264, -1.39, -0.936, 1.959
8.293, -3.721, -1.64, 2.155
8.321, -5.888, -0.97, 2.572
8.351, -6.33, 3.384, -3.976
8.381, -1.788, 2.202, -2.281
8.41, 0.84, -2.31, -2.433
8.436, 1.762, -1.012, -2.812
8.464, -0.134, 0.61, -1.298
8.493, -2.571, -0.825, -1.074
8.521, -1.78, -1.028, -0.367
8.55, 1.804, 0.283, 1.259
8.58, 3.291, 0.926, 1.488
8.608, 4.059, 0.267, 1.723
8.641, 4.563, 0.001, 1.633
8.669, 3.81, 0.17, 1.485
8.7, 2.481, 0.34, 0.889
8.731, -0.296, 0.01, 0.667
8.758, -0.778, 0.79, 1.102
8.788, -5.382, 2.567, 1.885
8.817, -5.855, 1.344, 2.224
8.845, -7.165, -2.629, -3.962
8.872, -2.84, -4.147, -3.555
8.899, 2.747, 0.635, -2.388
8.926, 0.155, 1.594, -2.051
8.953, -0.837, 0.778, -2.08
8.982, 1.09, -1.605, -1.233
9.012, 0.269, -0.91, -0.678
9.039, 0.794, -0.877, -0.104
9.068, 2.956, -0.618, 0.71
9.097, 3.38, -0.697, 0.743
9.122, 3.295, -0.581, 0.746
9.153, 2.661, -0.233, 1.222
9.18, 2.073, -0.303, 0.842
9.206, 0.393, -0.811, 1.05
9.235, -0.56, -0.165, 1.249
9.264, -0.624, 0.085, 1.878
9.291, -1.397, -1.464, 1.976
9.317, -3.484, -1.65, 2.137
9.344, -4.808, 1.546, 1.168
9.369, -5.6, 1.802, -4.502
9.395, -0.6, 1.347, -3.331
9.421, 1.476, -2.094, -3.691
9.45, 0.574, -1.422, -2.604
9.479, 0.083, -1.638, -1.786
9.508, -1.972, -0.536, -0.472
9.542, 1.588, -0.57, 0.464
9.576, 3.971, 0.495, 1.362
9.61, 3.476, 0.477, 1.83
9.644, 4.397, -1.049, 1.594
9.673, 3.692, -0.824, 1.128
9.701, 1.758, 1.258, 0.497
9.73, 0.04, -0.532, 0.701
9.759, -1.292, -2.02, 0.555
9.788, -2.215, 3.362, 2.261
9.817, -3.862, 5.535, 2.49
9.846, -6.692, -1.022, -2.229
9.876, -9.035, -7.048, -7.491
9.906, 2.786, 2.686, 0.713
9.933, 2.972, 6.308, -3.368
9.962, 0.521, 1.354, -2.196
9.993, -1.18, -3.7, -1.756
10.022, 1.797, 0.062, -0.758
10.05, 2.093, -0.426, 0.413
10.08, 2.587, -0.693, 0.838
10.112, 3.182, -1.071, 0.876
10.144, 3.675, -0.527, 1.006
10.172, 2.9, -0.638, 1.012
10.199, 1.79, -0.944, 1.135
10.229, -0.698, -0.808, 1.356
10.257, -0.844, 0.175, 1.642
10.283, -0.323, -0.842, 1.674
10.311, -3.911, -3.175, 1.438
10.341, -4.826, -1.196, 2.374
10.369, -4.201, 4.119, -4.771
10.399, -1.03, 3.454, -2.755
10.429, 1.102, -4.526, -3.041
10.463, -0.201, -1.658, -3.085
10.49, -0.554, 1.877, -1.434
10.519, -1.751, 1.869, -0.66
10.549, -1.605, -1.168, 0.228
10.579, 1.322, -0.091, 0.557
10.608, 3.209, 0.559, 1.323
10.637, 4.11, 0.38, 1.266
10.666, 4.25, -0.447, 1.367
10.695, 3.264, -0.611, 1.271
10.723, 3.005, -0.766, 1.256
10.751, 1.773, -0.498, 1.135
10.781, 0.017, 0.136, 1.036
10.811, -3.544, 1.621, 0.881
10.842, -4.948, 1.438, 1.97
10.869, -6.544, 0.965, 0.444
10.899, -8.945, -2.607, -6.629
10.929, 2.078, 2.883, 0.025
10.96, 0.107, 3.507, -2.371
10.992, 0.322, -2.16, -2.837
11.023, 0.609, -1.199, -1.654
11.054, 1.575, 0.289, -0.924
11.088, 1.609, -0.249, -0.064
