time[s], acc_x[m/s^2], acc_y[m/s^2], acc_z[m/s^2]
412.534, 1.302, -5.294, -6.529
412.559, -0.392, -4.609, -5.024
412.585, -4.876, 2.771, -0.547
412.612, -4.63, 3.559, 1.012
412.639, -2.235, 2.945, 1.562
412.665, 4.323, 1.614, 1.018
412.692, 5.09, 1.124, 2.212
412.718, 3.76, -0.778, 1.487
412.744, 4.844, -0.803, 1.16
412.771, 4.006, -0.996, 1.342
412.796, 2.139, 0.466, 0.706
412.822, 1.401, 1.004, 1.429
412.848, 0.902, -1.507, 3.208
412.875, -0.273, 0.141, 2.598
412.902, -6.905, 0.996, -0.966
412.929, -4.192, -2.26, 3.697
412.955, -6.834, -1.423, 0.362
412.981, -5.902, -1.754, -8.366
413.006, 2.727, 0.05, -3.939
413.032, 0.275, 0.677, -4.383
413.058, -1.824, 2.213, -2.661
413.084, -0.715, 1.516, -1.085
413.11, -1.043, -1.048, -0.602
413.136, -0.044, -1.702, -0.06
413.162, 2.776, -1.384, 0.324
413.188, 4.481, -1.567, 0.825
413.214, 4.371, -0.975, 1.13
413.241, 3.606, -0.522, 1.242
413.267, 1.923, -0.449, 1.436
413.293, 0.821, -0.819, 1.692
413.319, 0.206, -0.42, 2.248
413.345, 0.777, 0.86, 1.91
413.371, 1.749, -0.867, 0.963
413.396, -1.475, -2.203, 1.127
413.422, -2.323, 2.05, 3.508
413.449, -3.067, 1.602, 0.216
413.475, -3.242, 6.196, -6.244
413.501, 0.531, 2.656, -4.136
413.528, 0.524, -4.185, -4.2
413.554, -1.213, -0.71, -3.344
413.58, -4.251, 0.257, -1.776
413.605, -3.017, 0.684, 0.423
413.631, -0.939, 0.981, 0.416
413.657, 2.0, 1.021, 0.379
413.682, 5.527, 0.103, 1.658
413.707, 4.861, -1.13, 1.166
413.734, 4.855, -0.669, 1.152
413.761, 4.466, 0.269, 1.46
413.786, 1.351, 0.468, 1.078
413.812, 0.459, 0.004, 1.532
413.837, 0.687, -0.669, 2.14
413.862, -0.597, 1.523, 3.224
413.888, -5.302, 3.423, 1.74
413.915, -5.93, 1.895, 0.09
413.941, -4.148, -0.436, 1.502
413.967, -3.872, -9.293, -4.214
413.993, 0.566, -1.349, -5.064
414.018, 1.797, 1.958, -1.056
414.044, -1.015, 2.137, -1.45
414.07, -1.233, -1.975, -1.453
414.097, -1.979, -2.572, -0.484
414.124, 0.416, -2.5, 0.387
414.151, 3.207, -1.661, 0.231
414.176, 4.836, -1.752, 0.685
414.202, 3.511, -0.559, 1.104
414.228, 3.155, -0.297, 1.254
414.254, 2.947, 0.029, 1.761
414.28, 2.126, 0.304, 1.735
414.306, -0.043, -1.129, 1.793
414.333, 0.008, -0.307, 2.537
414.358, 1.149, -1.289, 2.229
414.384, -4.342, -0.808, 2.08
414.411, -3.001, 2.6, 2.671
414.436, -2.381, 6.231, -2.086
414.462, -5.211, 5.949, -3.236
414.487, 1.332, -3.345, -5.865
414.515, -0.177, -3.402, -4.663
414.54, -2.11, -4.172, -3.392
414.566, -5.322, 3.464, 0.325
414.591, -2.701, 3.396, 1.298
414.617, -0.067, 2.354, 0.983
414.642, 5.029, 0.421, 1.999
414.667, 4.472, -0.387, 1.26
414.692, 4.949, -0.045, 1.224
414.717, 4.854, 0.07, 1.512
414.744, 1.279, -0.309, 1.188
414.771, 0.794, -0.284, 1.33
414.797, 1.393, -0.359, 1.766
414.822, 1.301, 0.471, 1.989
414.849, -2.612, 2.572, 1.495
414.875, -6.041, 1.577, -1.477
414.902, -5.637, -2.346, 2.053
414.928, -9.11, -2.976, -9.656
414.953, -1.185, -1.602, -1.639
414.979, 1.861, 1.753, -3.018
415.005, -0.782, 4.461, -1.475
415.031, -1.314, 1.013, -1.088
415.057, -2.113, -1.255, -0.323
415.082, -0.709, -3.028, -0.336
415.108, 2.392, -2.019, 0.135
415.135, 4.323, -1.51, 0.195
415.161, 5.412, -1.121, 0.778
415.186, 3.702, -0.615, 0.931
415.212, 2.123, -0.123, 1.087
415.239, 0.754, -0.075, 1.16
415.265, -0.064, 0.685, 2.905
415.291, 1.437, 2.057, 3.462
415.316, 1.515, -0.051, 2.273
415.342, -4.713, -1.285, 1.828
415.37, -3.614, 2.347, 1.2
415.396, -3.041, 7.132, -3.477
415.421, -4.219, 6.687, -3.493
415.447, 1.2, -5.717, -5.816
415.472, 0.138, -6.324, -5.569
415.498, -2.398, -3.676, -3.552
415.523, -4.39, 5.234, -0.501
415.549, -1.572, 2.278, 0.602
415.575, 0.25, 0.185, -0.091
415.601, 4.82, 0.706, 0.713
415.626, 4.49, 0.48, 1.405
415.652, 4.336, 0.783, 1.512
415.678, 3.783, 0.488, 1.821
415.704, 1.807, 0.023, 0.585
415.73, 2.234, 0.134, 0.757
415.756, 2.469, -0.016, 1.994
415.782, 0.018, 0.314, 2.894
415.807, -3.605, 3.408, 1.973
415.834, -7.234, 3.119, 1.099
415.859, -5.058, 0.098, 2.065
415.884, -6.633, -9.453, -3.855
415.911, 1.464, 0.128, -3.693
415.936, 2.059, 3.546, -0.889
415.962, -0.695, 4.814, -1.51
415.987, -0.755, -0.924, -0.858
416.016, -1.863, -3.599, -0.724
416.042, -0.103, -3.334, -0.458
416.068, 3.53, -1.306, 0.311
416.093, 5.156, -1.23, 0.589
416.118, 5.295, -1.169, 1.06
416.145, 2.731, -0.734, 1.342
416.171, 1.444, 0.071, 1.401
416.196, 1.236, 0.505, 1.48
416.222, -1.131, -0.471, 2.732
416.249, -0.99, 0.227, 2.703
416.276, 0.869, 0.142, 1.102
416.301, -0.763, -0.801, 1.281
416.326, -2.15, 3.495, 3.079
416.353, -2.758, 3.336, -0.464
416.379, -4.972, 2.758, -6.799
416.405, 1.242, -2.473, -5.427
416.432, 0.811, -3.415, -4.256
416.458, -1.004, -1.922, -3.032
416.483, -4.516, 1.777, -0.22
416.509, -3.479, 1.715, 0.519
416.535, 1.177, 2.031, 0.28
416.561, 4.076, 1.56, 1.168
416.586, 4.685, 0.095, 1.623
416.612, 4.375, -0.56, 1.347
416.637, 4.307, 0.211, 1.589
416.663, 2.848, 1.246, 1.955
416.689, 1.71, 1.676, 1.785
416.716, 1.452, 1.256, 1.304
416.741, 1.569, -0.057, 1.843
416.766, -2.152, 1.535, 2.284
416.791, -6.272, 1.069, 0.422
416.817, -5.115, -0.986, 0.905
416.842, -5.392, -8.277, -5.331
416.867, -0.202, -0.746, -3.151
416.893, 2.254, 5.188, 0.609
416.919, 0.278, 8.35, -1.901
416.945, -3.059, -2.988, -1.853
416.971, -2.829, -4.451, -1.496
416.996, 0.195, -3.375, -0.861
417.022, 3.028, -0.764, 0.497
417.048, 4.889, -0.477, 0.659
417.074, 5.646, -0.884, 0.679
417.101, 4.596, -1.171, 0.264
417.126, 2.462, 0.356, 1.052
417.152, 3.016, -0.106, 1.326
417.179, 1.936, -0.813, 1.763
417.204, -1.118, 1.024, 4.331
417.23, -0.922, -0.83, 2.626
417.256, -2.07, -1.942, 2.713
417.281, -2.78, -0.48, 4.273
417.307, -2.965, 7.771, -5.131
417.333, -4.668, 8.045, -4.104
417.359, 0.373, -1.831, -4.948
417.385, -0.903, -7.251, -5.634
417.411, -4.899, -5.609, -4.1
417.437, -3.797, 2.089, -1.309
417.462, -0.915, 1.854, 0.778
417.487, 2.053, 1.278, 1.017
417.514, 5.071, 2.089, 1.544
417.539, 5.139, 0.856, 2.131
417.565, 4.934, 0.17, 1.256
417.591, 5.165, 0.189, 1.614
417.617, 4.206, 0.148, 1.761
417.643, 1.628, -0.238, 1.407
417.669, 2.087, -0.98, 1.715
417.694, 1.638, -0.714, 1.949
417.719, -0.131, 0.766, 1.783
417.745, -7.263, -0.773, -0.562
417.771, -9.298, -4.321, -3.155
417.796, -6.329, -10.393, -7.049
417.822, -0.178, 0.394, -1.473
417.848, 0.251, 6.731, -1.968
417.874, -1.701, 4.168, -1.801
417.9, -1.992, -1.596, -2.352
417.926, 0.455, -2.496, -0.921
417.953, 1.898, -1.754, -0.097
417.979, 2.907, -1.291, 0.618
418.004, 5.285, -1.779, 0.612
418.031, 4.624, -1.651, 0.931
418.058, 3.604, -0.883, 0.867
418.084, 1.775, 0.427, 2.084
418.11, 0.549, 0.149, 2.31
418.134, -0.894, 0.273, 2.586
418.16, -0.917, 1.022, 2.391
418.185, -1.086, -2.961, 2.086
418.212, -3.056, -2.036, 2.608
418.238, -3.591, -0.417, 2.824
418.264, -2.687, 8.333, -3.062
418.29, 0.31, 1.299, -3.507
418.316, 2.895, -4.693, -3.926
418.342, -3.218, -2.274, -4.508
418.367, -7.555, 1.086, -2.458
418.393, -4.512, 3.698, -0.148
418.418, -2.164, 3.396, -0.112
418.444, 3.375, 1.475, 0.622
418.47, 3.826, 0.969, 0.854
418.497, 4.131, -0.293, 0.631
418.524, 6.23, 0.041, 1.032
418.55, 5.22, -0.037, 1.603
418.575, 3.446, -0.188, 1.191
418.601, 1.579, -0.038, 1.311
418.626, 1.278, -0.147, 1.906
418.652, 0.77, 2.261, 2.467
418.677, -2.792, 3.269, 0.762
418.702, -5.073, -1.623, 2.57
418.727, -10.231, -1.542, -6.179
418.754, -3.061, -5.2, -2.573
418.78, 0.503, 1.21, -6.855
418.805, 0.22, 4.124, -2.395
418.831, -1.888, 2.975, -2.739
418.857, -1.657, -0.138, -2.438
418.882, -1.021, -1.813, -0.717
418.908, 1.008, -1.577, -0.131
418.935, 3.022, -0.996, 0.585
418.961, 4.311, -0.347, 0.632
418.986, 4.069, -0.417, 0.676
419.012, 3.526, -1.02, 0.893
419.038, 3.259, -0.04, 1.054
419.064, 0.933, 0.67, 1.57
419.091, -0.265, 1.231, 2.807
419.117, -0.645, 1.898, 3.673
419.142, -1.188, -1.488, 2.078
419.167, -4.251, -2.424, 1.903
419.193, -4.825, 0.62, 2.61
419.219, -2.921, 3.72, 1.344
419.245, -2.204, 3.858, -4.81
419.271, 2.523, -1.963, -5.106
419.297, 4.52, -4.22, -4.215
419.323, -2.919, -1.825, -2.613
419.349, -3.581, -0.847, -1.275
419.375, -4.202, 0.92, 0.236
419.401, -1.447, 2.632, 1.19
419.427, 4.051, 1.639, 1.474
419.453, 5.141, 1.476, 2.012
419.478, 4.571, 0.247, 1.518
419.506, 4.521, -0.506, 1.366
419.532, 3.485, -0.247, 1.622
419.558, 1.691, 0.199, 1.523
419.583, 0.634, 0.248, 1.254
419.61, 1.553, -0.465, 2.111
419.636, 0.862, 0.838, 3.369
419.662, -6.144, -0.693, 1.918
419.69, -6.533, -2.127, -1.451
419.715, -6.102, -6.799, -9.206
419.74, -0.792, -2.294, -3.317
419.765, -0.289, 3.533, -1.654
419.791, -2.027, 4.909, -2.043
419.816, -1.011, 1.118, -2.249
419.844, -0.383, -2.313, -0.602
419.87, 0.42, -2.016, 0.019
419.896, 2.231, -1.53, 0.504
419.921, 4.635, -1.208, 0.778
419.947, 4.936, -0.803, 0.506
419.972, 4.17, -0.659, 1.036
419.998, 2.902, -0.213, 2.057
420.024, -0.07, 0.29, 2.696
420.051, -0.694, 0.844, 2.557
420.077, -0.137, 1.247, 2.463
420.102, -1.78, -3.403, 1.956
420.128, -4.686, -2.446, 2.313
420.154, -4.016, 0.816, 2.867
420.182, -4.293, 7.844, -4.536
420.207, -1.188, 2.659, -4.851
420.232, 2.125, -1.705, -5.289
420.257, 0.652, -3.422, -5.323
420.283, -3.696, -0.236, -2.082
420.309, -4.311, 2.3, -0.2
420.335, -2.131, 2.899, 1.291
420.361, 0.063, 2.709, 1.324
420.386, 6.118, 2.113, 1.715
420.412, 5.992, 0.716, 2.0
420.438, 5.338, -0.493, 1.261
420.463, 3.599, 0.234, 0.885
420.49, 1.303, 0.563, 0.405
420.515, -0.087, -0.279, 0.815
420.542, 0.032, -1.637, 1.692
420.568, 1.239, -1.221, 3.059
420.593, -3.91, 3.133, 1.999
420.619, -7.547, 2.024, -0.92
420.649, -4.511, -1.342, -4.801
420.674, -1.603, -2.736, -3.592
420.7, -2.245, -0.547, -8.749
420.725, -1.062, 1.209, -1.448
420.752, -0.737, 3.687, -0.938
420.778, -0.311, 2.308, -1.511
420.803, -0.337, -4.48, -0.968
420.83, 0.147, -4.143, -0.094
420.856, 1.8, -2.622, 0.267
420.884, 6.285, 0.983, 0.215
420.91, 5.706, 0.054, -0.226
420.936, 3.706, -1.43, -1.477
420.962, 1.298, -0.567, 2.684
420.988, -0.195, 2.208, 4.291
421.014, -2.156, 3.37, 5.034
421.039, -1.918, 1.409, 3.816
421.065, -2.867, -3.598, 1.003
421.092, -3.976, -1.362, 2.02
421.118, -2.107, 2.965, 0.811
421.144, -3.236, 3.794, -4.097
421.169, 0.473, -2.68, -5.328
421.195, 2.117, -3.769, -5.579
421.221, -0.618, -2.504, -4.447
421.248, -4.815, 2.222, -0.355
421.274, -3.236, 2.559, 1.246
421.3, -0.849, 3.465, 1.669
421.325, 5.659, 1.892, 1.727
421.352, 5.637, 0.257, 2.141
421.378, 4.558, -1.199, 1.146
421.403, 4.626, -0.309, 1.628
421.429, 3.682, 0.386, 1.648
421.455, 1.388, 0.747, 1.393
421.48, 0.615, 0.448, 1.651
421.507, 1.507, -1.778, 2.855
421.533, -3.031, 1.687, 2.132
421.559, -7.522, 2.853, -1.027
421.586, -7.585, -3.441, -1.423
421.612, -5.624, -5.84, -9.827
421.638, -1.245, -1.419, -4.735
421.663, 0.343, 2.785, -1.941
421.688, -0.658, 4.116, -1.531
421.716, -1.223, 1.489, -1.56
421.742, -1.567, -0.539, -0.716
421.767, 1.644, -2.453, 0.266
421.792, 3.705, -1.232, 0.625
421.817, 5.496, -0.176, 0.919
421.844, 3.898, -1.19, 0.007
421.871, 2.665, -1.461, 0.576
421.896, 1.736, 0.061, 1.34
421.922, 1.077, 1.863, 2.687
421.949, -0.692, 0.913, 3.091
421.975, -0.905, -0.412, 2.096
422.001, -1.4, -3.104, 0.099
422.027, -1.905, 0.126, 1.719
422.052, -0.116, 5.946, -0.765
422.077, -2.257, 11.536, -5.117
422.102, 0.003, -5.712, -5.951
422.128, 0.461, -5.771, -5.629
422.154, -5.175, -3.472, -3.717
422.182, -4.516, 4.084, 0.483
422.207, -2.376, 3.571, 1.186
422.233, -0.041, 2.38, 0.905
422.258, 4.355, 2.069, 0.677
422.283, 5.134, -0.582, 1.406
422.31, 5.116, -1.116, 0.887
422.336, 5.75, -0.607, 0.767
422.363, 4.454, -0.189, 1.828
422.389, 2.697, -0.252, 1.266
422.415, 1.348, -0.062, 1.086
422.441, 0.665, -0.205, 1.652
422.467, -4.451, 1.639, 2.211
422.493, -7.328, 1.358, -0.194
422.52, -5.784, -0.786, 1.645
422.545, -3.579, -5.588, -7.012
422.571, 0.106, -1.655, -6.162
422.596, 1.253, 0.998, -3.502
422.622, -1.709, 3.652, -1.334
422.65, -1.463, 0.226, -2.11
422.676, -0.425, -2.112, -1.504
422.702, 0.055, -2.943, -1.154
422.727, 2.596, -1.107, 0.398
422.753, 4.734, -0.511, 0.463
422.782, 3.764, -0.714, 0.034
422.809, 2.735, -0.609, 0.678
422.835, 1.79, -0.253, 0.581
422.861, 0.906, 0.157, 1.155
422.886, -0.295, 1.134, 2.876
422.912, 0.853, 1.192, 2.968
422.939, 1.049, -1.336, 1.795
422.964, -3.939, -1.09, 2.698
422.99, -3.269, 2.987, 1.39
423.016, -2.493, 8.668, -5.11
423.042, -4.055, 7.53, -3.739
423.069, 1.376, -5.077, -6.6
423.095, -0.273, -4.896, -4.771
423.12, -3.913, -1.563, -2.516
423.146, -4.263, 4.536, 1.187
423.172, -1.937, 4.046, 1.132
423.198, 1.701, 1.657, 0.299
423.223, 5.657, 0.208, 1.857
423.249, 4.109, -1.457, 0.705
423.275, 5.019, -0.754, 0.527
423.3, 4.446, -0.393, 1.074
423.325, 2.596, -1.171, 1.05
423.351, 1.354, -1.305, 0.891
423.377, 0.636, -0.205, 0.48
423.402, -0.081, 2.095, 1.333
423.427, -2.59, 2.691, 0.142
423.453, -4.362, -0.162, -0.082
423.478, -4.074, -0.681, 1.573
423.503, -5.898, -6.198, -6.484
423.53, -0.723, 0.871, -5.144
423.557, 3.519, 1.382, -0.918
423.583, -1.281, 4.411, -2.023
423.609, -1.217, -0.157, -2.224
423.635, -1.533, -2.204, -2.061
423.661, 0.451, -2.201, -1.115
423.687, 2.537, -1.147, 0.154
423.712, 5.15, -1.169, 0.482
423.737, 5.061, -1.61, 0.596
423.762, 2.435, -0.674, 1.165
423.787, 1.476, 0.026, 0.936
423.813, 0.512, 0.179, 1.0
423.839, 0.269, -0.302, 1.158
423.864, 1.453, 1.957, 3.175
423.89, 2.066, 1.069, 3.087
423.917, -0.699, -2.037, 2.311
423.944, -5.335, 0.307, 2.461
423.97, -1.445, 5.34, -1.241
423.996, -3.733, 9.282, -4.233
424.023, 2.027, -6.342, -6.719
424.05, 0.742, -4.768, -5.374
424.075, -2.527, -3.653, -3.534
424.101, -4.688, 1.098, -1.039
424.127, -3.141, 2.751, 1.814
424.153, -0.649, 1.15, 0.288
424.179, 4.088, 1.154, 0.742
424.204, 5.184, 0.429, 1.273
424.229, 4.758, 0.424, 0.26
424.255, 5.115, -0.666, 0.378
424.28, 4.62, -1.269, 1.678
424.306, 2.894, 0.481, 1.462
424.332, 2.208, -0.446, 1.222
424.358, 2.623, -0.841, 2.64
424.383, -3.742, 2.703, 2.486
424.409, -8.185, 0.827, 3.158
424.435, -7.864, -0.4, 3.679
424.461, -6.303, -0.422, -0.3
424.487, -0.237, -12.11, -2.692
424.515, 3.919, -1.11, -4.739
424.542, 3.102, 4.715, 0.075
424.568, -2.329, 6.487, -2.876
424.594, -2.951, -2.27, -1.172
424.619, -3.011, -4.456, -1.029
424.646, 2.127, -1.102, 0.273
424.672, 4.348, -1.328, 0.604
424.698, 5.342, -1.757, 0.727
424.723, 3.708, -1.302, 1.057
424.75, 2.454, -0.47, 1.472
424.777, 2.228, 0.189, 1.576
424.802, 1.883, 0.004, 1.307
424.828, 0.468, 0.005, 2.979
424.854, 1.113, 0.28, 2.839
424.881, 0.411, -1.828, 2.952
424.906, -4.544, 1.063, 3.498
424.932, -4.21, 4.804, 0.903
424.958, -5.974, 6.702, -4.415
424.983, 1.233, -5.278, -6.155
425.009, 1.325, -5.002, -4.922
425.035, -1.825, -3.796, -3.94
425.062, -5.124, 0.641, -1.265
425.089, -2.2, 2.78, 1.395
425.116, -0.18, 2.138, 0.861
425.141, 4.407, 0.956, 0.738
425.166, 5.903, 1.186, 1.004
425.192, 5.742, 1.618, 0.326
425.217, 6.172, 1.24, 1.05
425.242, 2.592, -2.394, 2.243
425.268, -0.363, -1.99, 2.965
425.296, -0.796, -0.67, 2.765
425.321, -0.019, 0.618, 1.942
425.348, -1.744, 3.991, 0.714
425.377, -3.85, 1.193, -0.012
425.403, -8.365, -1.866, -0.957
425.43, -8.733, -7.704, -8.157
425.456, -0.646, -2.1, -2.283
425.482, 0.743, 0.757, -2.292
425.509, -0.937, 2.385, -1.27
425.535, -0.881, 1.245, -1.321
425.561, -1.356, 0.029, -0.614
425.587, 1.296, -2.366, 0.219
425.613, 3.319, -1.72, 0.738
425.639, 4.597, -0.79, 1.063
425.665, 4.177, -0.33, 1.028
425.692, 3.072, -0.479, 1.615
425.717, 2.532, -0.102, 1.366
425.744, 0.241, -1.137, 1.02
425.77, 0.138, -0.34, 2.104
425.795, 2.045, 1.501, 2.517
425.822, 1.496, -0.213, 2.737
425.847, -4.923, -0.171, 3.819
425.872, -4.83, 3.333, 3.091
425.898, -3.398, 2.921, -3.895
425.924, 2.022, -2.745, -6.284
425.95, 2.534, -5.959, -5.096
425.976, -1.695, -5.439, -5.76
426.002, -5.933, 1.173, -0.849
426.029, -4.413, 1.604, 0.484
426.056, -1.723, 2.217, 1.364
426.081, 2.198, 1.775, 0.825
426.107, 6.458, 0.601, 2.053
426.132, 5.692, -0.842, 1.166
426.158, 6.386, -0.45, 0.698
426.183, 3.989, 0.607, 1.47
426.208, 1.448, 0.712, 1.698
426.235, 0.441, 0.061, 1.844
426.261, 0.16, -0.701, 2.117
426.288, -5.339, 2.409, 0.086
426.314, -6.499, 0.793, -1.197
426.34, -4.321, -1.58, 3.945
426.365, -5.366, -7.657, -6.679
426.391, 0.352, -0.517, -4.02
426.417, 3.731, 0.567, -1.552
426.442, -2.25, 3.469, -1.761
426.467, -1.548, 0.643, -1.653
426.495, -0.564, -1.222, -1.247
426.52, 0.326, -2.508, -0.329
426.547, 2.968, -1.439, 0.57
426.573, 4.881, -2.145, 0.754
426.599, 5.829, -1.518, 1.179
426.625, 4.714, -0.265, 0.831
426.651, 2.962, -0.61, 0.471
426.676, 1.508, -1.459, 0.744
426.702, 0.525, 1.473, 3.674
426.728, -0.221, 2.997, 3.787
426.754, -0.552, -0.276, 2.493
426.78, -3.392, -3.228, 2.575
426.807, -3.507, 2.962, 2.531
426.833, -2.261, 2.965, -2.127
426.86, -4.864, 5.017, -6.697
426.885, 3.107, -7.1, -4.483
426.912, -0.205, -4.87, -5.528
426.938, -4.194, 0.071, -3.626
426.963, -5.028, 1.911, 0.772
426.989, -3.214, 1.16, 1.055
427.016, 0.703, 1.478, 0.887
427.042, 4.724, 1.207, 1.332
427.067, 5.826, 0.535, 1.848
427.093, 6.233, 0.07, 1.213
427.119, 5.918, 0.127, 1.594
427.145, 2.409, -0.033, 1.319
427.171, 1.675, -1.157, 1.275
427.197, 1.644, -1.763, 2.281
427.222, -3.859, 1.119, 1.818
427.248, -8.499, -0.435, -0.607
427.274, -6.536, -2.536, 4.336
427.3, -7.111, -0.644, 0.983
427.326, 0.943, -4.344, -1.98
427.354, 1.448, -0.648, -3.656
427.381, 0.468, 2.45, -1.214
427.406, -2.05, 3.194, -0.821
427.433, -1.654, -0.908, -0.724
427.459, -0.561, -3.477, -0.411
427.484, 3.432, -2.198, 0.448
427.51, 5.525, -1.141, 0.784
427.536, 6.679, -0.677, 1.393
427.562, 6.448, -0.518, 1.124
427.588, 2.679, -0.987, 0.684
427.614, 1.089, -1.633, 0.882
427.64, 0.48, -1.871, 1.587
427.665, -0.06, 1.722, 4.098
427.691, -1.045, -0.55, 3.835
427.717, -3.7, -1.766, 3.485
427.742, -5.736, -1.055, 3.627
427.768, -2.278, 7.479, -7.096
427.794, -1.365, 5.392, -4.718
427.82, 1.03, -3.117, -5.974
427.846, -4.043, -6.046, -5.728
427.873, -5.737, -3.426, -2.76
427.899, -3.471, 1.539, -0.552
427.924, 0.145, 3.001, 1.201
427.95, 3.795, 2.076, 1.504
427.975, 6.544, 1.927, 2.369
428.001, 7.565, 0.074, 2.458
428.027, 6.651, 0.507, 0.876
428.052, 5.392, 1.362, 1.198
428.077, 2.358, -0.339, 2.338
428.103, -1.619, -2.762, 1.579
428.128, -1.377, -1.787, 0.854
428.153, -1.673, 0.867, 3.13
428.181, -5.158, 2.315, 1.357
428.207, -6.702, -2.377, 1.863
428.233, -8.407, -4.525, -8.82
428.259, -0.595, -8.556, -3.228
428.284, 1.433, 1.137, -1.737
428.31, -0.495, 3.672, -0.939
428.337, -0.804, 5.225, -1.741
428.362, -1.748, -2.623, -0.128
428.388, 1.078, -3.668, 0.317
428.414, 3.346, -2.811, 0.702
428.441, 5.715, -1.8, 0.888
428.466, 6.253, -1.516, 0.939
428.492, 4.207, -2.077, 1.176
428.517, 2.732, -1.701, 1.616
428.542, 1.346, 0.569, 2.263
428.567, -1.166, 1.134, 3.683
428.594, -2.067, 1.333, 4.863
428.62, -1.529, -0.35, 4.146
428.647, -3.885, -1.105, 2.71
428.673, -2.559, 1.564, 1.044
428.699, -1.376, 7.198, -7.372
428.725, 0.063, -7.26, -7.121
428.75, -2.72, -8.508, -8.143
428.775, -4.565, -7.656, -5.481
428.802, -3.609, -0.818, -2.597
428.829, -1.221, 4.648, 1.571
428.855, -0.238, 3.69, 1.591
428.88, 3.663, 2.107, 1.548
428.906, 6.112, -0.394, 2.392
428.933, 4.648, -1.718, 1.425
428.959, 5.296, -0.67, 1.426
428.984, 3.748, 0.889, 1.736
429.01, 1.336, 0.432, 0.748
429.036, 1.833, -1.129, 1.342
429.062, -1.818, 0.345, 3.679
429.087, -8.079, 0.605, 0.42
429.113, -7.685, -1.294, 1.836
429.139, -6.148, -1.491, 3.833
429.164, 0.996, -8.944, -2.427
429.191, 0.812, -0.45, -7.946
429.217, 2.163, 1.405, -1.089
429.242, -2.631, 4.108, -1.455
429.269, -1.742, 0.133, -1.343
429.296, -0.948, -2.159, -0.589
429.321, 0.524, -3.194, -0.185
429.348, 4.796, -1.763, 1.137
429.374, 6.38, -1.42, 1.203
429.402, 5.674, -0.929, 1.554
429.43, 2.704, -0.984, 0.997
429.457, 2.558, -0.923, 1.406
429.482, -0.019, 0.535, 3.312
429.507, -0.646, 1.521, 4.14
429.533, -0.651, -0.308, 2.757
429.559, -1.889, -2.585, 1.611
429.584, -3.444, 0.807, 3.043
429.61, -1.663, 5.526, -3.797
429.636, -4.409, 12.822, -5.107
429.662, 1.001, -4.142, -6.224
429.688, -4.239, -7.5, -5.706
429.714, -7.116, -2.156, -3.192
429.74, -3.908, 4.345, -0.748
429.766, -0.96, 2.952, 1.168
429.792, 2.324, 1.92, 1.563
429.817, 5.695, 1.747, 1.506
429.844, 6.423, -1.66, 1.279
429.869, 6.409, -0.807, 1.157
429.896, 5.709, -0.431, 1.775
429.922, 3.712, 0.613, 1.631
429.948, 0.545, 0.107, 1.095
429.974, -0.527, -0.142, -0.108
430.001, -1.067, -0.393, 1.369
430.026, -6.405, -0.517, 1.786
430.052, -6.462, -0.364, 1.911
430.078, -5.392, -0.73, 0.555
430.105, -1.777, -8.078, -3.198
430.131, 2.997, -1.11, -7.079
430.156, 1.002, -0.393, -3.136
430.182, -2.451, 3.272, -1.576
430.207, -1.574, 1.182, -1.371
430.233, -1.008, -1.028, -0.862
430.259, -0.121, -2.663, -0.916
430.285, 4.865, -2.209, -0.053
430.311, 6.789, -1.536, 0.473
430.336, 6.022, -0.829, 0.673
430.362, 3.137, -0.981, 0.248
430.388, 2.468, -1.263, 0.772
430.414, 1.309, -0.612, 1.855
430.44, -0.028, 0.934, 3.348
430.465, -0.841, 2.385, 3.853
430.493, -2.68, -1.013, 2.404
430.52, -4.9, -2.307, 1.815
430.549, -1.285, 3.016, -0.955
430.577, -2.688, 12.943, -4.081
430.602, 1.304, -5.927, -4.839
430.627, -2.939, -6.813, -5.91
430.653, -5.894, -2.262, -4.152
430.678, -4.848, 2.268, -1.108
430.703, -1.763, 3.308, 1.069
430.729, 1.346, 2.479, 0.932
430.756, 4.919, 1.669, 0.764
430.782, 5.456, -0.339, 1.715
430.809, 5.753, -0.55, 1.264
430.835, 5.693, 0.007, 1.308
430.861, 4.845, 0.283, 1.925
430.887, 1.707, 0.244, 1.626
430.912, 1.962, -0.557, 1.817
430.939, 0.791, -0.266, 1.86
430.965, -8.877, -1.454, -0.299
430.991, -5.131, -2.796, 2.801
431.017, -4.991, -1.505, 1.817
431.043, 1.185, -5.385, -0.358
431.069, -0.351, -0.749, -8.798
431.095, -1.003, 0.812, -2.642
431.12, -2.77, 4.0, -1.591
431.146, -0.961, 0.96, -0.99
431.172, -0.686, -1.856, -0.512
431.197, 0.44, -3.412, 0.253
431.222, 5.414, -2.383, 1.05
431.248, 7.333, -1.289, 1.548
431.274, 6.197, -0.431, 0.989
431.299, 4.134, -1.002, 0.451
431.324, 2.267, 0.255, 2.017
431.351, 1.059, 1.029, 2.395
431.378, -1.515, 1.723, 3.498
431.403, -1.959, 0.578, 2.506
431.428, -1.693, -2.206, 2.673
431.454, -3.205, -2.604, 5.224
431.479, -3.5, 1.235, 3.6
431.504, -0.722, 9.055, -2.991
431.531, 3.272, -4.024, -4.274
431.557, -0.489, -7.364, -4.791
